Symbol,Price (GBP),Source
BTC,74645.16180506954,CoinMarketCap
ETH,2662.539406888515,CoinMarketCap
XRP,1.6619832675059092,CoinMarketCap
USDT,0.7974117382487291,CoinMarketCap
BNB,560.0773172073353,CoinMarketCap
SOL,151.22123760497308,CoinMarketCap
DOGE,0.2522249524039378,CoinMarketCap
USDC,0.7989594306553828,CoinMarketCap
ADA,0.6741555006577812,CoinMarketCap
TRX,0.20310842696100687,CoinMarketCap
AVAX,28.516482269300273,CoinMarketCap
WSTETH,3165.375437885919,CoinMarketCap
SUI,3.289325894427619,CoinMarketCap
TON,4.386410311806731,CoinMarketCap
XLM,0.26499014510857544,CoinMarketCap
SHIB,1.689508156640207e-05,CoinMarketCap
LINK,15.980610277559986,CoinMarketCap
WETH,2663.4427497659694,CoinMarketCap
HBAR,0.21451832542588997,CoinMarketCap
DOT,5.301217199239612,CoinMarketCap
LEO,7.231917878814535,CoinMarketCap
BCH,346.61364508529175,CoinMarketCap
UNI,10.558518958596812,CoinMarketCap
LTC,82.35019607860374,CoinMarketCap
PEPE,1.592780855444096e-05,CoinMarketCap
USDS,0.8007085993732952,CoinMarketCap
NEAR,3.917202820471554,CoinMarketCap
DAI,0.7987330030105291,CoinMarketCap
APT,6.953789087843096,CoinMarketCap
ICP,7.881913906867608,CoinMarketCap
AAVE,246.59837707589134,CoinMarketCap
ETC,19.986039200210662,CoinMarketCap
POL,0.36049718014951376,CoinMarketCap
OM,3.054735377601665,CoinMarketCap
CRO,0.11262385201019347,CoinMarketCap
RENDER,5.419173133721633,CoinMarketCap
VET,0.03441032024286259,CoinMarketCap
TAO,352.1206178985226,CoinMarketCap
FIL,3.9490965389337624,CoinMarketCap
FET,1.0141211269916652,CoinMarketCap
ARB,0.5762776893711471,CoinMarketCap
KAS,0.09157418280710727,CoinMarketCap
ALGO,0.2666213765871211,CoinMarketCap
OKB,39.20861755266598,CoinMarketCap
ATOM,4.941760086478655,CoinMarketCap
ENA,0.7252663038397437,CoinMarketCap
OP,1.3996166414238955,CoinMarketCap
TIA,3.6838560623213783,CoinMarketCap
STX,1.2248682698107938,CoinMarketCap
THETA,1.7693758500839174,CoinMarketCap
IMX,1.0585425615474073,CoinMarketCap
BONK,2.441389101732428e-05,CoinMarketCap
INJ,15.650487650503724,CoinMarketCap
CBBTC,74669.87903692028,CoinMarketCap
GRT,0.15927758189485963,CoinMarketCap
FDUSD,0.7967265186195681,CoinMarketCap
WLD,1.6677587433143033,CoinMarketCap
SEI,0.3165403008045906,CoinMarketCap
FLOKI,0.00014125580517280738,CoinMarketCap
WIF,1.4845249765679351,CoinMarketCap
JASMY,0.025320946821336864,CoinMarketCap
LDO,1.3954491655754502,CoinMarketCap
KCS,8.412059910205738,CoinMarketCap
SAND,0.4355335954200617,CoinMarketCap
BBTC,73702.87608612905,CoinMarketCap
FLR,0.02073366183092577,CoinMarketCap
RAY,3.904769438243381,CoinMarketCap
DEXE,11.886643288248164,CoinMarketCap
XTZ,1.0261292865759246,CoinMarketCap
QNT,84.86827633230934,CoinMarketCap
MKR,1190.7476519687461,CoinMarketCap
GALA,0.02741501327346941,CoinMarketCap
KAIA,0.16045394705560362,CoinMarketCap
EOS,0.6179619423316938,CoinMarketCap
RUNE,3.5779155095878297,CoinMarketCap
IOTA,0.22405949060368957,CoinMarketCap
FLOW,0.55536143474015,CoinMarketCap
ENS,26.33650140968004,CoinMarketCap
JUP,0.6522749931942022,CoinMarketCap
AIOZ,0.6286327743780021,CoinMarketCap
CRV,0.7139379061692346,CoinMarketCap
STRK,0.3738895001750721,CoinMarketCap
AR,12.784891596912498,CoinMarketCap
AXS,4.958243960367971,CoinMarketCap
MANA,0.372295185478356,CoinMarketCap
DYDX,1.1432386745125407,CoinMarketCap
HNT,4.69746334485787,CoinMarketCap
EGLD,26.66691281095036,CoinMarketCap
MATIC,0.3599792942433591,CoinMarketCap
NEXO,1.0360186946038688,CoinMarketCap
FTT,2.9248226295236917,CoinMarketCap
APE,0.9610151184424314,CoinMarketCap
USDD,0.7963718903121049,CoinMarketCap
CHZ,0.06534013534985374,CoinMarketCap
MOG,1.61047151477568e-06,CoinMarketCap
XEC,2.653864052379835e-05,CoinMarketCap
RON,1.5468899645579528,CoinMarketCap
CFX,0.12475018099719487,CoinMarketCap
W,0.22798722385512768,CoinMarketCap
RSR,0.010538604776719385,CoinMarketCap
COMP,58.51153082845517,CoinMarketCap
CAKE,2.00199128955821,CoinMarketCap
EIGEN,2.7988040914670234,CoinMarketCap
